Date,Start Time,End Time,Service/Class,Staff/Centre,Capacity,Booked
25-12-17,07:00,08:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1,1,1
25-12-17,07:00,08:00,Contrast Therapy Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,07:00,08:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1,2,2
25-12-17,07:00,08:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,07:00,08:00,Contrast Therapy Maintenance (25 min),Contrast Room 1,2,2
25-12-17,07:00,08:00,Contrast Therapy Maintenance (25 min),Contrast Room 2,2,0
25-12-17,07:00,08:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1,4,4
25-12-17,07:00,08:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,07:00,08:00,Cryotherapy Session,Cryotherapy Room,4,1
25-12-17,07:00,08:00,Cryotherapy for two,Cryotherapy Room,8,2
25-12-17,07:00,08:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1,1,1
25-12-17,07:00,08:00,Infrared Sauna Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,07:00,08:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1,2,2
25-12-17,07:00,08:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,07:00,08:00,Infrared Sauna Maintenance (25 min),Contrast Room 1,2,2
25-12-17,07:00,08:00,Infrared Sauna Maintenance (25 min),Contrast Room 2,2,0
25-12-17,07:00,08:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1,4,4
25-12-17,07:00,08:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,08:00,09:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,08:00,09:00,Contrast Therapy Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,08:00,09:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,08:00,09:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,08:00,09:00,Contrast Therapy Maintenance (25 min),Contrast Room 1,2,0
25-12-17,08:00,09:00,Contrast Therapy Maintenance (25 min),Contrast Room 2,2,0
25-12-17,08:00,09:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,08:00,09:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,08:00,09:00,Cryotherapy Session,Cryotherapy Room,4,0
25-12-17,08:00,09:00,Cryotherapy for two,Cryotherapy Room,8,0
25-12-17,08:00,09:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,08:00,09:00,Infrared Sauna Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,08:00,09:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,08:00,09:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,08:00,09:00,Infrared Sauna Maintenance (25 min),Contrast Room 1,2,0
25-12-17,08:00,09:00,Infrared Sauna Maintenance (25 min),Contrast Room 2,2,0
25-12-17,08:00,09:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,08:00,09:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,09:00,10:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1,1,1
25-12-17,09:00,10:00,Contrast Therapy Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,09:00,10:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1,2,2
25-12-17,09:00,10:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,09:00,10:00,Contrast Therapy Maintenance (25 min),Contrast Room 1,2,1
25-12-17,09:00,10:00,Contrast Therapy Maintenance (25 min),Contrast Room 2,2,0
25-12-17,09:00,10:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1,4,2
25-12-17,09:00,10:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,09:00,10:00,Cryotherapy Session,Cryotherapy Room,4,1
25-12-17,09:00,10:00,Cryotherapy for two,Cryotherapy Room,8,4
25-12-17,09:00,10:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1,1,1
25-12-17,09:00,10:00,Infrared Sauna Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,09:00,10:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1,2,2
25-12-17,09:00,10:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,09:00,10:00,Infrared Sauna Maintenance (25 min),Contrast Room 1,2,1
25-12-17,09:00,10:00,Infrared Sauna Maintenance (25 min),Contrast Room 2,2,0
25-12-17,09:00,10:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1,4,2
25-12-17,09:00,10:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,10:00,11:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1,1,1
25-12-17,10:00,11:00,Contrast Therapy Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,10:00,11:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1,2,2
25-12-17,10:00,11:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,10:00,11:00,Contrast Therapy Maintenance (25 min),Contrast Room 1,2,1
25-12-17,10:00,11:00,Contrast Therapy Maintenance (25 min),Contrast Room 2,2,0
25-12-17,10:00,11:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1,4,2
25-12-17,10:00,11:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,10:00,11:00,Cryotherapy Session,Cryotherapy Room,4,0
25-12-17,10:00,11:00,Cryotherapy for two,Cryotherapy Room,8,0
25-12-17,10:00,11:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1,1,1
25-12-17,10:00,11:00,Infrared Sauna Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,10:00,11:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1,2,2
25-12-17,10:00,11:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,10:00,11:00,Infrared Sauna Maintenance (25 min),Contrast Room 1,2,1
25-12-17,10:00,11:00,Infrared Sauna Maintenance (25 min),Contrast Room 2,2,0
25-12-17,10:00,11:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1,4,2
25-12-17,10:00,11:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,11:00,12:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,11:00,12:00,Contrast Therapy Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,11:00,12:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,11:00,12:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,11:00,12:00,Contrast Therapy Maintenance (25 min),Contrast Room 1,2,0
25-12-17,11:00,12:00,Contrast Therapy Maintenance (25 min),Contrast Room 2,2,0
25-12-17,11:00,12:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,11:00,12:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,11:00,12:00,Cryotherapy Session,Cryotherapy Room,4,0
25-12-17,11:00,12:00,Cryotherapy for two,Cryotherapy Room,8,0
25-12-17,11:00,12:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,11:00,12:00,Infrared Sauna Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,11:00,12:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,11:00,12:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,11:00,12:00,Infrared Sauna Maintenance (25 min),Contrast Room 1,2,0
25-12-17,11:00,12:00,Infrared Sauna Maintenance (25 min),Contrast Room 2,2,0
25-12-17,11:00,12:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,11:00,12:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,12:00,13:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,12:00,13:00,Contrast Therapy Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,12:00,13:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,12:00,13:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,12:00,13:00,Contrast Therapy Maintenance (25 min),Contrast Room 1,2,0
25-12-17,12:00,13:00,Contrast Therapy Maintenance (25 min),Contrast Room 2,2,0
25-12-17,12:00,13:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,12:00,13:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,12:00,13:00,Cryotherapy Session,Cryotherapy Room,4,0
25-12-17,12:00,13:00,Cryotherapy for two,Cryotherapy Room,8,0
25-12-17,12:00,13:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,12:00,13:00,Infrared Sauna Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,12:00,13:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,12:00,13:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,12:00,13:00,Infrared Sauna Maintenance (25 min),Contrast Room 1,2,0
25-12-17,12:00,13:00,Infrared Sauna Maintenance (25 min),Contrast Room 2,2,0
25-12-17,12:00,13:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,12:00,13:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,13:00,14:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,13:00,14:00,Contrast Therapy Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,13:00,14:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,13:00,14:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,13:00,14:00,Contrast Therapy Maintenance (25 min),Contrast Room 1,2,0
25-12-17,13:00,14:00,Contrast Therapy Maintenance (25 min),Contrast Room 2,2,0
25-12-17,13:00,14:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,13:00,14:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,13:00,14:00,Cryotherapy Session,Cryotherapy Room,4,0
25-12-17,13:00,14:00,Cryotherapy for two,Cryotherapy Room,8,0
25-12-17,13:00,14:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,13:00,14:00,Infrared Sauna Comprehensive (50 min),Contrast Room 2,1,0
25-12-17,13:00,14:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,13:00,14:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 2,2,0
25-12-17,13:00,14:00,Infrared Sauna Maintenance (25 min),Contrast Room 1,2,0
25-12-17,13:00,14:00,Infrared Sauna Maintenance (25 min),Contrast Room 2,2,0
25-12-17,13:00,14:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,13:00,14:00,Infrared Sauna Maintenance (25min) for two,Contrast Room 2,4,0
25-12-17,14:00,15:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,14:00,15:00,Contrast Therapy Comprehensive (50 min),Contrast Room 2,1,1
25-12-17,14:00,15:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1,2,0
25-12-17,14:00,15:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 2,2,2
25-12-17,14:00,15:00,Contrast Therapy Maintenance (25 min),Contrast Room 1,2,0
25-12-17,14:00,15:00,Contrast Therapy Maintenance (25 min),Contrast Room 2,2,1
25-12-17,14:00,15:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 1,4,0
25-12-17,14:00,15:00,Contrast Therapy Maintenance (25min) for two,Contrast Room 2,4,2
25-12-17,14:00,15:00,Cryotherapy Session,Cryotherapy Room,4,0
25-12-17,14:00,15:00,Cryotherapy for two,Cryotherapy Room,8,0
25-12-17,14:00,15:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1,1,0
25-12-17,14:00,15:00,Infrared Sauna Comprehensive (50 min),Contrast Room 2,1,1
25-12-17,14:00,15:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1,2,0
