Date,Start Time,End Time,Service/Class,Staff/Centre
25-12-17,04:45,05:30,Contrast Therapy Maintenance (25 min),Contrast  Room 2
25-12-17,04:45,05:30,Contrast Therapy Maintenance (25min) for two,Contrast  Room 2
25-12-17,04:45,05:30,Infrared Sauna Maintenance (25 min),Contrast  Room 2
25-12-17,04:45,05:30,Infrared Sauna Maintenance (25min) for two,Contrast  Room 2
25-12-17,04:45,05:00,Cryotherapy Session,Cryotherapy Room
25-12-17,04:45,05:00,Cryotherapy for two,Cryotherapy Room
25-12-17,05:00,06:00,Contrast Therapy Comprehensive (50 min),Contrast  Room 2
25-12-17,05:00,06:00,Contrast Therapy Comprehensive (50min) for two,Contrast  Room 2
25-12-17,05:00,06:00,Infrared Sauna Comprehensive (50 min),Contrast  Room 2
25-12-17,05:00,06:00,Infrared Sauna Comprehensive (50min) for two,Contrast  Room 2
25-12-17,05:00,06:00,Contrast Therapy Comprehensive (50 min),Contrast Room 1
25-12-17,05:00,06:00,Contrast Therapy Comprehensive (50min) for two,Contrast Room 1
25-12-17,05:00,05:45,Contrast Therapy Maintenance (25 min),Contrast Room 1
25-12-17,05:00,05:45,Contrast Therapy Maintenance (25min) for two,Contrast Room 1
25-12-17,05:00,06:00,Infrared Sauna Comprehensive (50 min),Contrast Room 1
25-12-17,05:00,06:00,Infrared Sauna Comprehensive (50min) for two,Contrast Room 1
25-12-17,05:00,05:45,Infrared Sauna Maintenance (25 min),Contrast Room 1
25-12-17,05:00,05:45,Infrared Sauna Maintenance (25min) for two,Contrast Room 1
25-12-17,05:00,05:15,Cryotherapy Session,Cryotherapy Room
25-12-17,05:00,05:15,Cryotherapy for two,Cryotherapy Room
25-12-17,05:15,05:30,Cryotherapy Session,Cryotherapy Room
25-12-17,05:15,05:30,Cryotherapy for two,Cryotherapy Room
25-12-17,05:30,06:15,Contrast Therapy Maintenance (25 min),Contrast  Room 2
25-12-17,05:30,06:15,Contrast Therapy Maintenance (25min) for two,Contrast  Room 2
25-12-17,05:30,06:15,Infrared Sauna Maintenance (25 min),Contrast  Room 2
25-12-17,05:30,06:15,Infrared Sauna Maintenance (25min) for two,Contrast  Room 2
25-12-17,05:30,05:45,Cryotherapy Session,Cryotherapy Room
25-12-17,05:30,05:45,Cryotherapy for two,Cryotherapy Room
25-12-17,05:45,06:30,Contrast Therapy Maintenance (25 min),Contrast Room 1
25-12-17,05:45,06:30,Contrast Therapy Maintenance (25min) for two,Contrast Room 1
25-12-17,05:45,06:30,Infrared Sauna Maintenance (25 min),Contrast Room 1
25-12-17,05:45,06:30,Infrared Sauna Maintenance (25min) for two,Contrast Room 1
25-12-17,05:45,06:00,Cryotherapy Session,Cryotherapy Room
25-12-17,05:45,06:00,Cryotherapy for two,Cryotherapy Room
25-12-17,06:00,07:00,Contrast Therapy Comprehensive (50 min),Contrast  Room 2
25-12-17,06:00,07:00,Contrast Therapy Comprehensive (50min) for two,Contrast  Room 2
25-12-17,06:00,07:00,Infrared Sauna Comprehensive (50 min),Contrast  Room 2
